etd_id_absence,etd_id_etudiant,etd_id_module,etd_date_absence,etd_type_seance,etd_justifiee,etd_duree_heures
1,1,2,2022-09-26,TP,Oui,1.5
3,1,12,2022-07-16,Cours,Oui,1.5
4,1,20,2025-01-15,TP,Non,1.5
4914,1,155,2024-09-12,TP,Oui,-6.0
2119,1,152,2023-12-31,TD,Oui,1.5
9,1,152,2023-02-24,TP,Non,1.5
3045,1,156,2024-08-01,TD,Oui,1.5
12,1,152,2025-12-10,TP,Oui,1.5
13,1,161,2023-10-07,Cours,Oui,1.5
14,1,157,2025-01-03,Cours,Oui,1.5
15,1,157,2025-04-22,TD,Oui,1.5
16,1,154,2025-01-31,TD,Oui,1.5
3489,1,156,2024-09-08,Cours,Oui,1.5
19,1,151,2022-09-14,TP,Oui,1.5
21,2,66,2022-10-05,TP,Oui,1.5
4301,2,56,2023-01-31,TP,Oui,1.5
25,2,68,2024-10-01,TD,Oui,1.5
26,2,56,2022-11-02,TP,Oui,1.5
29,3,94,2025-11-08,TD,Oui,1.5
30,3,91,2022-09-23,TP,Oui,1.5
831,3,83,2023-08-22,TD,Oui,1.5
33,3,90,2024-08-31,Cours,Non,1.5
34,3,81,2023-12-21,TD,Non,-1.5
36,3,91,2022-09-17,TD,Oui,1.5
37,3,78,2022-10-03,TP,Non,1.5
4129,3,89,2025-03-10,TD,Non,1.5
39,3,79,2025-12-27,TD,Non,1.5
1568,3,95,2023-12-31,TD,Oui,-1.5
44,6,163,2023-03-02,Cours,Oui,1.5
45,6,163,2025-05-10,TP,Oui,-1.5
47,6,170,2023-09-29,TD,Oui,-1.5
51,6,172,2024-10-30,TP,Oui,1.5
7276,6,163,2022-08-16,Cours,Non,1.5
58,4,190,2023-11-11,Cours,Non,1.5
59,4,192,2025-09-22,TD,Oui,1.5
64,4,190,2023-08-11,TD,Non,1.5
68,4,192,2025-07-29,Cours,Oui,1.5
71,5,19,2023-03-11,TP,Non,-1.5
72,5,7,2023-08-16,TP,Oui,1.5
73,9,91,2022-06-13,Cours,Non,1.5
76,9,96,2024-04-16,TD,Non,1.5
80,9,81,2022-09-04,TP,Oui,1.5
2311,9,86,2025-08-08,TP,Oui,1.5
5453,9,98,2024-04-25,TD,Non,1.5
88,9,80,2024-12-29,Cours,Oui,1.5
90,10,96,2024-03-20,TP,Oui,1.5
5543,6,47,2025-08-22,TP,Oui,1.5
257,6,42,2025-05-24,Cours,Oui,1.5
95,6,47,2022-02-28,TP,Oui,1.5
4549,6,40,2022-01-27,Cours,Oui,1.5
2760,6,33,2024-06-10,Cours,Non,1.5
107,6,29,2022-07-28,Cours,Oui,1.5
109,12,205,2022-04-11,Cours,Non,1.5
112,12,208,2024-09-10,TP,Non,-1.5
114,12,205,2022-08-26,Cours,Oui,1.5
6928,12,204,2025-03-08,TD,Non,1.5
116,12,204,2022-11-18,TP,Non,1.5
117,12,208,2025-10-15,TP,Oui,1.5
118,12,203,2024-12-06,TP,Oui,1.5
120,12,203,2022-07-12,TD,Non,1.5
121,12,208,2022-07-26,TP,Oui,1.5
126,13,180,2022-06-07,TP,Oui,1.5
128,13,179,2023-05-04,TP,Non,1.5
130,13,176,2024-07-02,TD,Oui,1.5
132,13,180,2022-10-19,Cours,Oui,1.5
135,13,179,2024-10-28,TD,Non,1.5
136,13,181,2023-05-04,TP,Non,-1.5
139,13,181,2024-12-18,Cours,Non,1.5
140,13,176,2025-04-10,TD,Non,1.5
143,14,166,2024-01-15,Cours,Oui,1.5
144,14,166,2023-01-21,TD,Non,-1.5
3696,8,115,2022-03-25,TD,Non,1.5
148,8,118,2025-05-06,Cours,Oui,1.5
149,8,122,2022-01-22,TP,Non,1.5
1610,8,106,2025-05-20,Cours,Non,1.5
153,16,140,2023-04-04,TP,Oui,1.5
156,16,131,2024-04-29,TP,Oui,1.5
158,16,133,2022-04-01,Cours,Non,-1.5
286,16,128,2025-03-11,TP,Oui,1.5
160,16,127,2024-04-13,TD,Oui,1.5
161,16,148,2024-08-20,TP,Non,1.5
8743,16,136,2025-02-07,Cours,Non,1.5
4400,17,65,2023-04-10,Cours,Non,1.5
165,17,62,2025-04-11,Cours,Oui,1.5
168,17,68,2022-07-13,TP,Oui,1.5
170,9,67,2023-12-29,TP,Oui,1.5
173,9,57,2025-05-29,TD,Non,1.5
8602,9,56,2024-08-19,TP,Non,1.5
1444,9,68,2023-06-29,Cours,Oui,1.5
182,9,57,2023-08-28,TD,Non,1.5
3537,9,63,2022-09-26,Cours,Oui,1.5
5380,9,53,2022-06-20,TP,Oui,-1.5
4604,9,54,2024-10-07,TP,Non,1.5
192,11,204,2022-04-24,TD,Non,1.5
7034,11,207,2022-11-01,Cours,Non,1.5
194,11,208,2024-02-09,Cours,Oui,1.5
195,11,204,2024-10-04,TP,Oui,1.5
196,11,205,2022-06-25,TP,Oui,1.5
197,11,201,2025-03-29,TD,Oui,1.5
