etd_id_note,etd_id_etudiant,etd_id_module,etd_id_enseignant,etd_annee_universitaire,etd_semestre,etd_type_examen,etd_note,etd_date_examen,etd_session
2,1,2,18,2024-2025,1,TP,16.02,2024-03-29,Normale
3070,1,5,28,2024-2025,1,TP,19.32,2022-02-13,Normale
19270,1,5,28,2024-2025,1,Examen Final,4.22,2022-04-17,Normale
13928,1,14,52,2022-2023,-3,Examen Final,12.18,2023-05-26,Normale
12498,1,11,19,2023-2024,2,TP,19.91,2023-05-22,Normale
10,1,22,35,2024-2025,4,CC,15.3,2022-07-31,Normale
16,1,4,40,2023-2024,1,TP,9.38,2022-05-06,Rattrapage
17,1,8,4,2024-2025,-2,CC,8.31,2023-12-20,Rattrapage
1416,1,8,4,2024-2025,2,TP,15.39,2023-05-21,Normale
16556,1,151,12,2023-2024,1,TP,9.35,2022-07-18,Normale
23,1,156,38,2024-2025,1,CC,7.36,2022-06-28,Rattrapage
24,1,156,38,2024-2025,1,TP,18.2,2022-09-25,Normale
26,1,154,20,2024-2025,-1,Examen Final,5.2,2023-09-10,Rattrapage
27,1,154,20,2024-2025,1,TP,15.61,2023-02-18,Normale
32,1,157,5,2024-2025,2,CC,13.59,2025-11-27,Normale
17556,2,72,49,2022-2023,4,Examen Final,7.48,2024-11-16,Normale
35,2,68,36,2023-2024,3,Examen Final,17.64,2023-08-30,Normale
38,2,67,16,2024-2025,3,CC,19.07,2023-07-23,Normale
40,2,53,26,2022-2023,1,CC,12.55,2022-01-03,Normale
9847,2,56,36,2024-2025,1,Examen Final,5.33,2022-10-01,Rattrapage
42,2,56,36,2024-2025,1,TP,10.53,2025-06-06,Normale
44,2,65,46,2022-2023,3,CC,6.83,2025-01-05,Normale
16415,2,65,46,2022-2023,3,TP,14.52,2025-04-09,Normale
50,2,59,2,2022-2023,2,Examen Final,15.62,2024-01-25,Normale
2168,2,66,23,2022-2023,3,TP,6.9,2022-12-27,Normale
1044,2,64,18,2024-2025,3,CC,6.3,2023-05-18,Rattrapage
56,2,60,2,2023-2024,2,Examen Final,13.65,2024-02-13,Normale
2198,2,55,24,2023-2024,1,CC,16.22,2025-08-12,Normale
620,2,54,46,2022-2023,1,CC,8.28,2022-01-20,Normale
59,4,143,7,2023-2024,3,CC,4.89,2025-07-09,Rattrapage
60,4,136,3,2024-2025,2,CC,5.65,2022-07-30,Rattrapage
15678,4,128,37,2024-2025,1,Examen Final,7.63,2022-10-29,Rattrapage
8567,4,132,3,2023-2024,2,CC,14.99,2022-08-19,Normale
64,4,132,3,2023-2024,2,TP,11.87,2022-08-14,Normale
65,4,130,52,2022-2023,-1,TP,13.85,2022-08-31,Normale
68,4,140,41,2022-2023,3,CC,14.0,2023-08-11,Normale
69,4,140,41,2022-2023,3,TP,9.57,2023-07-10,Normale
15715,4,131,17,2023-2024,1,CC,16.44,2022-10-28,Normale
75,3,78,30,2024-2025,1,TP,18.75,2024-02-24,Normale
77,3,86,18,2024-2025,2,Examen Final,10.15,2025-04-04,Normale
79,3,80,47,2024-2025,1,Examen Final,7.76,2023-02-21,Normale
14296,3,81,5,2022-2023,1,TP,8.72,2025-02-03,Normale
85,3,87,30,2024-2025,2,TP,15.73,2025-11-26,Normale
86,3,97,48,2023-2024,4,Examen Final,5.7,2024-09-03,Normale
87,3,91,5,2024-2025,3,CC,9.84,2023-05-17,Normale
91,3,83,25,2023-2024,2,TP,8.59,2022-05-03,Normale
92,3,83,25,2023-2024,2,CC,18.1,2022-03-07,Normale
95,6,165,28,2024-2025,1,Examen Final,7.5,2025-02-19,Normale
96,6,165,28,2024-2025,1,CC,13.68,2022-06-08,Normale
97,6,163,3,2024-2025,1,TP,17.24,2022-12-04,Normale
99,6,169,4,2023-2024,2,CC,5.24,2022-02-27,Rattrapage
103,6,166,40,2024-2025,1,Examen Final,19.78,2024-09-17,Normale
106,6,168,35,2023-2024,1,Examen Final,16.03,2023-12-30,Normale
107,6,172,37,2022-2023,2,CC,18.34,2024-10-28,Normale
112,6,164,35,2024-2025,1,Examen Final,19.89,2024-10-24,Normale
118,4,189,10,2023-2024,1,CC,5.09,2023-12-25,Rattrapage
